acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.8125,0.8352941176470589,0.8,0.8,0.8000000000000002,0.6235294117647059,0.6235294117647059,0.8469239200811209
0.6875,0.7490196078431374,0.6,0.6923076923076923,0.6428571428571429,0.3675889328063241,0.37056498639919355,0.7487952020667281
0.75,0.8274509803921568,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.4940711462450593,0.498071218278486,0.8282482905425091
0.84375,0.8509803921568628,0.8,0.8571428571428571,0.8275862068965518,0.6850393700787402,0.6864025490801687,0.8621573426573426
0.78125,0.8156862745098039,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.5555555555555556,0.5659164584181102,0.8118349376701779
0.6875,0.7686274509803921,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.37254901960784315,0.37254901960784315,0.7189502908184248
0.8125,0.8588235294117647,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.6205533596837944,0.6255774501577784,0.8819053741995928
0.65625,0.7333333333333334,0.6,0.6428571428571429,0.6206896551724138,0.30708661417322836,0.3076976944152481,0.7506792036501299
0.78125,0.7843137254901962,0.6,0.9,0.7200000000000001,0.552,0.5826364566706337,0.7855893367269295
0.65625,0.7450980392156863,0.6,0.6428571428571429,0.6206896551724138,0.30708661417322836,0.3076976944152481,0.6521163860545466
0.746875,0.7968627450980392,0.6733333333333331,0.7650549450549452,0.713923006750593,0.48850600240884806,0.4940642939207415,0.7887200284467503
0.06621756281380341,0.044152056298157064,0.07571877794400368,0.09165420758223124,0.0713493140903597,0.1329451916450494,0.13548350750981966,0.06792664577506755
0.71875,0.803921568627451,0.6,0.75,0.6666666666666665,0.4285714285714286,0.4365641250653994,0.7909106049648645
